id,dates,coords
346474,1314.0,H_0
346472,1314.0,H_0
346473,1314.0,H_0
346470,1301.0,H_0
346471,1301.0,H_0
346469,1301.0,H_0
346468,1301.0,H_0
346467,1301.0,H_0
346466,1301.0,H_0
346465,1301.0,H_0
345739,1201.0,H_0
345738,1201.0,H_0
345737,1201.0,H_0
345736,1201.0,H_0
345734,1201.0,H_0
345735,1201.0,H_0
345733,1201.0,H_0
345732,1201.0,H_0
345731,1201.0,H_0
345730,1401.0,H_0
345729,1301.0,H_0
345727,1201.0,H_0
345726,1301.0,H_0
345725,1301.0,H_0
345724,1301.0,H_0
345722,1301.0,H_0
345723,1301.0,H_0
345721,1401.0,H_0
345720,1301.0,H_0
345719,1201.0,H_0
345718,1201.0,H_0
345693,1201.0,H_0
345692,1201.0,H_0
345691,1201.0,H_0
345690,1201.0,H_0
345689,1201.0,H_0
345688,1201.0,H_0
345687,1201.0,H_0
345686,1201.0,H_0
345685,1201.0,H_0
345684,1201.0,H_0
345677,1201.0,H_0
345676,1301.0,H_0
345675,1201.0,H_0
345674,1201.0,H_0
345673,1201.0,H_0
345672,1201.0,H_0
345671,1201.0,H_0
345670,1201.0,H_0
345668,1201.0,H_0
345667,1201.0,H_0
345666,1201.0,H_0
345664,1201.0,H_0
345665,1201.0,H_0
345662,1201.0,H_0
345663,1201.0,H_0
345661,1201.0,H_0
345660,1201.0,H_0
345659,1201.0,H_0
345650,1201.0,H_0
345649,1201.0,H_0
345648,1201.0,H_0
345647,1201.0,H_0
345646,1201.0,H_0
345644,1201.0,H_0
345642,1201.0,H_0
345643,1201.0,H_0
345641,1201.0,H_0
345639,1201.0,H_0
345640,1201.0,H_0
345637,1201.0,H_0
345638,1201.0,H_0
345636,1201.0,H_0
345634,1201.0,H_0
345635,1201.0,H_0
345633,1201.0,H_0
345632,1201.0,H_0
345631,1201.0,H_0
345629,1201.0,H_0
345630,1201.0,H_0
345626,1301.0,H_0
345628,1201.0,H_0
345625,1201.0,H_0
345624,1301.0,H_0
345623,1301.0,H_0
345622,1201.0,H_0
345621,1201.0,H_0
345620,1301.0,H_0
345619,1201.0,H_0
345618,1201.0,H_0
345610,1201.0,H_0
345608,1201.0,H_0
345609,1201.0,H_0
345607,1201.0,H_0
345606,1201.0,H_0
345605,1201.0,H_0
345604,1201.0,H_0
345603,1201.0,H_0
345601,1201.0,H_0
345602,1201.0,H_0
345600,1201.0,H_0
345599,1201.0,H_0
345598,1201.0,H_0
345597,1201.0,H_0
345596,1201.0,H_0
345593,1301.0,H_0
345592,1301.0,H_0
345594,1201.0,H_0
345591,1201.0,H_0
345590,1301.0,H_0
345589,1301.0,H_0
345588,1201.0,H_0
345587,1201.0,H_0
345586,1301.0,H_0
345584,1201.0,H_0
345585,1301.0,H_0
345583,1201.0,H_0
345581,1301.0,H_0
345579,1201.0,H_0
345580,1201.0,H_0
345582,1201.0,H_0
345577,1201.0,H_0
345578,400.0,H_0
345576,1201.0,H_0
345575,1201.0,H_0
345574,1301.0,H_0
345573,1301.0,H_0
345572,1201.0,H_0
345571,1301.0,H_0
345570,1301.0,H_0
345568,1301.0,H_0
345569,1201.0,H_0
345567,1351.0,H_0
345565,1301.0,H_0
345566,1301.0,H_0
345564,1301.0,H_0
345562,1201.0,H_0
345561,1201.0,H_0
345559,1301.0,H_0
345560,1201.0,H_0
345558,1301.0,H_0
343408,1201.0,H_0
343406,1201.0,H_0
343407,1314.0,H_0
343404,1201.0,H_0
343403,1201.0,H_0
343402,1201.0,H_0
343396,1201.0,H_0
343393,1201.0,H_0
343395,1201.0,H_0
343394,1201.0,H_0
343392,1201.0,H_0
343390,1201.0,H_0
343391,1201.0,H_0
1023160,2022,H_1
1023158,2022,H_1
1023156,2022,H_1
1023154,2022,H_1
1023152,2022,H_1
1023153,2022,H_1
1023151,2022,H_1
1023150,2022,H_1
1023149,2022,H_1
1023148,2022,H_1
1023146,2022,H_1
1023144,2022,H_1
1023147,2022,H_1
1023140,2022,H_1
1023138,2022,H_1
1023137,2022,H_1
1023135,2022,H_1
1023134,2022,H_1
1023133,2022,H_1
1023132,2022,H_1
1023131,2022,H_1
1023128,2022,H_1
1023127,2022,H_1
1023126,2022,H_1
1023125,2022,H_1
1023123,2022,H_1
1023124,101.0,H_1
1023122,2022,H_1
1023120,2022,H_1
1023121,2022,H_1
1023119,2022,H_1
1023118,2022,H_1
1023117,2022,H_1
1023113,1.0,H_1
1023112,1.0,H_1
1023110,1.0,H_1
1023109,1.0,H_1
1023107,1.0,H_1
1023106,1.0,H_1
1023105,1.0,H_1
1023103,1.0,H_1
1023100,1.0,H_1
1023097,2022,H_1
1023096,2022,H_1
1023093,2022,H_1
1023092,2022,H_1
1023091,2022,H_1
1023090,2022,H_1
1023089,2022,H_1
1023086,2022,H_1
1023087,2022,H_1
1023085,2022,H_1
1023084,2022,H_1
1023082,2022,H_1
1023083,2022,H_1
1023080,2022,H_1
1023079,2022,H_1
1023077,2022,H_1
1023076,2022,H_1
1023074,2022,H_1
1023072,2022,H_1
1023073,2022,H_1
1023070,2022,H_1
1023071,2022,H_1
1023069,2022,H_1
1023068,2022,H_1
1023067,2022,H_1
1023066,2022,H_1
1023065,2022,H_1
1023064,2022,H_1
1023059,2022,H_1
1023063,2022,H_1
1023060,2022,H_1
1023058,2022,H_1
1023054,2022,H_1
1023055,2022,H_1
1023056,2022,H_1
1023052,2022,H_1
1023050,2022,H_1
1023051,2022,H_1
1023049,2022,H_1
1023048,2022,H_1
1023047,2022,H_1
1023046,2022,H_1
1023045,2022,H_1
1023043,2022,H_1
1023044,2022,H_1
1023042,101.0,H_1
1023041,2022,H_1
1023039,101.0,H_1
1023040,101.0,H_1
1023038,101.0,H_1
1023037,2022,H_1
1023036,2022,H_1
1023034,2022,H_1
1023035,2022,H_1
1023033,101.0,H_1
1023032,2022,H_1
1023031,2022,H_1
1023030,2022,H_1
1023029,2022,H_1
1023028,2022,H_1
1023027,2022,H_1
1023026,2022,H_1
1023024,2022,H_1
1023025,2022,H_1
1023023,2022,H_1
1023021,2022,H_1
1023020,190.0,H_1
1023019,151.0,H_1
1023017,2022,H_1
1023018,151.0,H_1
1023016,2022,H_1
1023013,2022,H_1
1023012,2022,H_1
1023011,2022,H_1
1023009,2022,H_1
1023008,2022,H_1
1023005,2022,H_1
1023006,2022,H_1
1023004,2022,H_1
1023003,2022,H_1
1023002,2022,H_1
1023001,2022,H_1
1023000,2022,H_1
1022999,2022,H_1
1022998,2022,H_1
1022997,2022,H_1
1022996,2022,H_1
1022995,2022,H_1
1022994,2022,H_1
1022991,2022,H_1
1022988,2022,H_1
1022987,2022,H_1
1022985,2022,H_1
1022986,2022,H_1
1022984,2022,H_1
1022983,2022,H_1
1022979,1.0,H_1
1022981,2022,H_1
1022977,101.0,H_1
1022975,2022,H_1
1022976,2022,H_1
1022974,-600.0,H_1
1022973,-400.0,H_1
1022969,-600.0,H_1
1022972,-400.0,H_1
1022968,2022,H_1
1022967,2022,H_1
1022964,2022,H_1
1022965,2022,H_1
1022963,2022,H_1
1022962,-340.0,H_1
1022961,-510.0,H_1
1022960,-525.0,H_1
1022958,-27.0,H_1
1022956,-27.0,H_1
1022957,-27.0,H_1
1022954,-27.0,H_1
1022955,-27.0,H_1
1022953,2022,H_1
1022952,-27.0,H_1
1022950,101.0,H_1
1022948,101.0,H_1
1022949,101.0,H_1
1022945,1.0,H_1
1022947,101.0,H_1
1022944,1.0,H_1
1022943,1.0,H_1
1022942,1.0,H_1
1022941,1.0,H_1
1022939,101.0,H_1
1022935,301.0,H_1
1022934,276.0,H_1
1022931,301.0,H_1
1022929,2022,H_1
1022925,101.0,H_1
1022922,1.0,H_1
1022920,290.0,H_1
1022921,290.0,H_1
1022919,290.0,H_1
1022918,290.0,H_1
1022917,290.0,H_1
934907,-500.0,H_1
955171,-500.0,H_1
934872,1.0,H_1
934806,-500.0,H_1
24893,-600.0,H_1
24892,-600.0,H_1
24891,-600.0,H_1
24832,1.0,H_1
24826,-600.0,H_1
24828,101.0,H_1
24825,-400.0,H_1
24827,-100.0,H_1
24823,-400.0,H_1
24821,-400.0,H_1
24822,-400.0,H_1
24820,-400.0,H_1
24818,-400.0,H_1
24819,-400.0,H_1
24817,-400.0,H_1
24816,-400.0,H_1
24815,-400.0,H_1
24814,-400.0,H_1
24813,-400.0,H_1
24812,-400.0,H_1
24811,-400.0,H_1
24810,-400.0,H_1
24758,-400.0,H_1
24756,-400.0,H_1
24754,-400.0,H_1
24753,-400.0,H_1
24752,-400.0,H_1
24729,-500.0,H_1
24719,-600.0,H_1
24755,-400.0,H_1
15977,1.0,H_1
15970,1.0,H_1
15969,1.0,H_1
15967,-2000.0,H_1
15962,-600.0,H_1
15959,-600.0,H_1
15958,-600.0,H_1
15957,1.0,H_1
15956,-600.0,H_1
15955,-600.0,H_1
15954,1.0,H_1
15953,2022,H_1
15952,-600.0,H_1
15951,2022,H_1
15950,-400.0,H_1
15944,-330.0,H_1
15947,-400.0,H_1
15949,-315.0,H_1
15941,-225.0,H_1
15943,-79.0,H_1
15940,131.0,H_1
15938,93.0,H_1
15925,-600.0,H_1
15939,-330.0,H_1
15924,1.0,H_1
15923,1.0,H_1
15922,1.0,H_1
15920,1.0,H_1
15921,1.0,H_1
15918,1.0,H_1
15919,1.0,H_1
15916,-200.0,H_1
15917,1.0,H_1
15915,1.0,H_1
15914,1.0,H_1
15913,1.0,H_1
15912,1.0,H_1
15910,-600.0,H_1
15909,-600.0,H_1
15907,-600.0,H_1
