dates,SHM,Hermitage
-135000,0,53
-125000,0,30
-80000,0,53
-65000,0,329
-64000,0,88
-60000,0,27
-55000,0,22
-48000,0,17
-45000,0,1
-40000,0,7
-39000,0,219
-38000,0,2
-30000,0,226
-29000,0,13
-28000,0,58
-26000,0,1
-24000,0,12
-19000,1376,0.0
-14000,2732,0.0
-12000,0,46
-11000,101,638
-10000,4570,0.0
-8000,0,867
-6000,4525,8
-5000,333,302
-4000,2499,518
-3500,0,1
-3000,335,3
-2000,2144,45
-1000,205,3
-900,0,97
-800,3,34
-750,0,3360
-700,0,493
-650,0,68
-600,3001,2481
-560,0,1
-550,0,151
-530,0,1
-525,0,6
-510,0,65
-500,7452,5545
-480,0,4
-475,0,1
-470,0,1
-450,0,11
-440,0,2
-430,0,3
-425,0,20
-420,0,2
-410,0,19
-400,1262,749
-390,0,1
-389,0,1
-380,0,1
-375,0,2
-350,0,4
-340,0,2
-330,0,54
-325,0,5
-323,0,3
-315,0,4
-310,0,17
-300,646,133
-284,0,1
-275,0,4
-250,0,12
-230,0,1
-225,0,30
-210,0,5
-200,2464,116
-175,0,1
-125,0,1
-120,0,10
-110,0,10
-105,0,5
-100,50,27
-90,0,3
-80,0,6
-79,0,4
-66,0,2
-50,0,3
-47,0,3
-44,0,2
-30,0,1
-27,0,6
1,3739,222
14,0,2
33,0,3
38,0,1
39,0,2
42,0,1
49,0,3
50,0,3
51,0,4
68,0,1
75,0,1
76,0,1
93,0,6
100,0,1
101,1845,109
108,0,2
120,0,1
123,0,2
131,0,1
132,0,2
151,0,4
186,0,2
190,0,7
193,0,1
201,2543,51
225,0,1
233,0,1
234,0,3
251,0,3
275,0,3
276,0,1
290,0,8
301,429,66
400,0,15
401,9468,7
500,0,2
501,2632,41
551,0,6
601,407,33
635,0,1
651,0,7
701,3089,3
801,96,149
901,9535,66
1001,1517,1333
1042,0,2
1090,0,1
1101,601,253
1151,0,1
1190,0,17
1201,7001,249
1301,702,91
1314,0,4
1351,0,1
1401,5,3
1501,7,0.0
1601,86,0.0
1701,44,2
1801,28,0.0
1901,59,0.0
2022,0,13401
